Using GPU: b'NVIDIA GeForce RTX 2080 Ti'
This network will be trained using DT = 0.005
Numpy seed: 1118289516, Cupy seed: 998927211
Loading datasets...
Creating network...
Training...
Train | Epoch 15.6 | Loss: 26.36, Accuracy (%): 82.92, Silent labels (%): 0.0, Time (s): 18.44
Train | Epoch 15.7 | Loss: 26.91, Accuracy (%): 82.28, Silent labels (%): 0.0, Time (s): 21.64
Train | Epoch 15.8 | Loss: 27.02, Accuracy (%): 82.2, Silent labels (%): 0.01, Time (s): 24.85
Train | Epoch 15.9 | Loss: 26.37, Accuracy (%): 83.14, Silent labels (%): 0.0, Time (s): 28.05
Train | Epoch 16.0 | Loss: 26.84, Accuracy (%): 82.47, Silent labels (%): 0.0, Time (s): 31.24
Test | Epoch 16.0 | Loss: 28.85, Accuracy (%): 80.67, Learning rate: 0.003, Hidden layer 1 spike counts: 237.85, Output layer spike counts: 151.31, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 695.69, Output layer weights norm: 117.79, Time (s): 2.59
Best accuracy: 80.67%, Networks save to: best_model
Train | Epoch 16.1 | Loss: 26.15, Accuracy (%): 82.95, Silent labels (%): 0.0, Time (s): 2.54
Train | Epoch 16.2 | Loss: 26.28, Accuracy (%): 82.74, Silent labels (%): 0.0, Time (s): 5.73
Train | Epoch 16.3 | Loss: 26.27, Accuracy (%): 83.22, Silent labels (%): 0.0, Time (s): 8.9
Train | Epoch 16.4 | Loss: 26.4, Accuracy (%): 83.01, Silent labels (%): 0.0, Time (s): 12.07
Train | Epoch 16.5 | Loss: 27.06, Accuracy (%): 82.24, Silent labels (%): 0.0, Time (s): 15.24
Train | Epoch 16.6 | Loss: 26.37, Accuracy (%): 83.01, Silent labels (%): 0.0, Time (s): 18.42
Train | Epoch 16.7 | Loss: 25.82, Accuracy (%): 83.63, Silent labels (%): 0.0, Time (s): 21.62
Train | Epoch 16.8 | Loss: 25.83, Accuracy (%): 83.75, Silent labels (%): 0.0, Time (s): 24.8
Train | Epoch 16.9 | Loss: 26.67, Accuracy (%): 82.42, Silent labels (%): 0.0, Time (s): 27.96
Train | Epoch 17.0 | Loss: 26.35, Accuracy (%): 82.71, Silent labels (%): 0.0, Time (s): 31.13
Test | Epoch 17.0 | Loss: 28.72, Accuracy (%): 80.58, Learning rate: 0.003, Hidden layer 1 spike counts: 233.54, Output layer spike counts: 151.06, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 715.67, Output layer weights norm: 119.72, Time (s): 2.58
Train | Epoch 17.1 | Loss: 26.15, Accuracy (%): 82.99, Silent labels (%): 0.0, Time (s): 2.58
Train | Epoch 17.2 | Loss: 26.37, Accuracy (%): 82.85, Silent labels (%): 0.0, Time (s): 5.75
Train | Epoch 17.3 | Loss: 25.86, Accuracy (%): 83.52, Silent labels (%): 0.0, Time (s): 8.92
Train | Epoch 17.4 | Loss: 26.11, Accuracy (%): 83.03, Silent labels (%): 0.01, Time (s): 12.08
Train | Epoch 17.5 | Loss: 25.94, Accuracy (%): 83.55, Silent labels (%): 0.0, Time (s): 15.24
Train | Epoch 17.6 | Loss: 26.14, Accuracy (%): 83.12, Silent labels (%): 0.0, Time (s): 18.41
Train | Epoch 17.7 | Loss: 26.08, Accuracy (%): 83.04, Silent labels (%): 0.0, Time (s): 21.57
Train | Epoch 17.8 | Loss: 25.97, Accuracy (%): 83.35, Silent labels (%): 0.0, Time (s): 24.73
Train | Epoch 17.9 | Loss: 26.32, Accuracy (%): 83.09, Silent labels (%): 0.0, Time (s): 27.89
Train | Epoch 18.0 | Loss: 26.4, Accuracy (%): 82.86, Silent labels (%): 0.0, Time (s): 31.05
