Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.003
Numpy seed: 1835284946, Cupy seed: 1795915461
Loading datasets...
Creating network...
Training...
Train | Epoch 11.6 | Loss: 28.18, Accuracy (%): 82.36, Silent labels (%): 0.0, Time (s): 18.34
Train | Epoch 11.7 | Loss: 28.22, Accuracy (%): 82.43, Silent labels (%): 0.01, Time (s): 21.47
Train | Epoch 11.8 | Loss: 28.3, Accuracy (%): 82.04, Silent labels (%): 0.0, Time (s): 24.61
Train | Epoch 11.9 | Loss: 28.12, Accuracy (%): 82.37, Silent labels (%): 0.03, Time (s): 27.75
Train | Epoch 12.0 | Loss: 28.64, Accuracy (%): 81.27, Silent labels (%): 0.0, Time (s): 30.89
Test | Epoch 12.0 | Loss: 29.77, Accuracy (%): 80.52, Learning rate: 0.003, Hidden layer 1 spike counts: 516.48, Output layer spike counts: 149.46, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 639.89, Output layer weights norm: 109.8, Time (s): 2.45
Best accuracy: 80.52%, Networks save to: best_model
Train | Epoch 12.1 | Loss: 27.8, Accuracy (%): 82.34, Silent labels (%): 0.0, Time (s): 2.65
Train | Epoch 12.2 | Loss: 27.77, Accuracy (%): 82.43, Silent labels (%): 0.0, Time (s): 5.8
Train | Epoch 12.3 | Loss: 27.58, Accuracy (%): 82.22, Silent labels (%): 0.0, Time (s): 8.97
Train | Epoch 12.4 | Loss: 27.68, Accuracy (%): 82.31, Silent labels (%): 0.0, Time (s): 12.15
Train | Epoch 12.5 | Loss: 27.77, Accuracy (%): 82.29, Silent labels (%): 0.0, Time (s): 15.33
Train | Epoch 12.6 | Loss: 27.86, Accuracy (%): 82.2, Silent labels (%): 0.01, Time (s): 18.5
Train | Epoch 12.7 | Loss: 28.05, Accuracy (%): 81.88, Silent labels (%): 0.02, Time (s): 21.66
Train | Epoch 12.8 | Loss: 28.48, Accuracy (%): 82.3, Silent labels (%): 0.01, Time (s): 24.83
Train | Epoch 12.9 | Loss: 27.74, Accuracy (%): 82.6, Silent labels (%): 0.03, Time (s): 28.0
Train | Epoch 13.0 | Loss: 28.56, Accuracy (%): 81.93, Silent labels (%): 0.02, Time (s): 31.15
Test | Epoch 13.0 | Loss: 30.18, Accuracy (%): 80.67, Learning rate: 0.003, Hidden layer 1 spike counts: 523.74, Output layer spike counts: 148.6, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 667.31, Output layer weights norm: 111.92, Time (s): 2.45
Best accuracy: 80.67%, Networks save to: best_model
Train | Epoch 13.1 | Loss: 28.2, Accuracy (%): 82.38, Silent labels (%): 0.0, Time (s): 2.52
Train | Epoch 13.2 | Loss: 27.72, Accuracy (%): 82.66, Silent labels (%): 0.0, Time (s): 5.67
Train | Epoch 13.3 | Loss: 27.91, Accuracy (%): 82.38, Silent labels (%): 0.03, Time (s): 8.82
Train | Epoch 13.4 | Loss: 27.73, Accuracy (%): 83.44, Silent labels (%): 0.01, Time (s): 11.97
Train | Epoch 13.5 | Loss: 28.03, Accuracy (%): 82.29, Silent labels (%): 0.01, Time (s): 15.14
Train | Epoch 13.6 | Loss: 27.6, Accuracy (%): 82.63, Silent labels (%): 0.0, Time (s): 18.33
Train | Epoch 13.7 | Loss: 27.65, Accuracy (%): 82.68, Silent labels (%): 0.02, Time (s): 21.52
Train | Epoch 13.8 | Loss: 28.1, Accuracy (%): 82.22, Silent labels (%): 0.0, Time (s): 24.72
Train | Epoch 13.9 | Loss: 27.85, Accuracy (%): 82.16, Silent labels (%): 0.0, Time (s): 27.92
Train | Epoch 14.0 | Loss: 28.05, Accuracy (%): 82.11, Silent labels (%): 0.0, Time (s): 31.11
Test | Epoch 14.0 | Loss: 29.68, Accuracy (%): 80.62, Learning rate: 0.003, Hidden layer 1 spike counts: 539.18, Output layer spike counts: 153.25, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 694.44, Output layer weights norm: 113.9, Time (s): 2.45
